time,CPU_Consumption,category,pid,mainThreadIndex,itération
3881.306326,114169651,power,89599,0,18
3883.036987,115424262,power,85659,0,14
3883.258462,116356744,power,73894,0,2
3883.795518,112542046,power,75817,0,4
3884.490538,117017958,power,71855,0,0
3885.858006,115746392,power,87606,0,16
3886.717291,116678874,power,77791,0,6
3887.058158,115339491,power,79733,0,8
3887.594558,112711589,power,83662,0,12
3889.824374,112965902,power,81735,0,10
3891.624828,115373399,power,89599,0,18
3893.036522,115407308,power,85659,0,14
3893.258842,116916233,power,73894,0,2
3893.796544,112559001,power,75817,0,4
3894.491358,117679172,power,71855,0,0
3895.861312,115644667,power,87606,0,16
3896.716622,112847222,power,77791,0,6
3897.081704,113203261,power,79733,0,8
3897.593908,111558702,power,83662,0,12
3899.823251,111541748,power,81735,0,10
3901.310759,112474230,power,89599,0,18
3903.038375,112474230,power,85659,0,14
3903.259024,117204454,power,73894,0,2
3903.792921,113491482,power,75817,0,4
3904.492252,117560492,power,71855,0,0
3905.859367,112152100,power,87606,0,16
3906.715337,112677680,power,77791,0,6
3907.057067,112847222,power,79733,0,8
3907.595387,112389459,power,83662,0,12
3909.82382,111796061,power,81735,0,10
3911.307237,111846923,power,89599,0,18
3913.037547,111999512,power,85659,0,14
3913.324533,117730035,power,73894,0,2
3913.795957,113423665,power,75817,0,4
3914.489652,117797852,power,71855,0,0
3915.856588,114508734,power,87606,0,16
3916.715038,113474528,power,77791,0,6
3917.058774,112457275,power,79733,0,8
3917.593039,101470947,power,83662,0,12
3919.822388,112355550,power,81735,0,10
3921.396481,111660428,power,89599,0,18
3923.038175,112592909,power,85659,0,14
3923.46881,119035509,power,73894,0,2
3923.804091,112474230,power,75817,0,4
3924.486437,118492974,power,71855,0,0
3925.858765,113135444,power,87606,0,16
3926.712613,112626818,power,77791,0,6
3927.058412,112711589,power,79733,0,8
3927.593952,112525092,power,83662,0,12
3929.822905,111694336,power,81735,0,10
3931.322154,111151801,power,89599,0,18
3933.037409,112050374,power,85659,0,14
3933.259012,114457872,power,73894,0,2
3933.815729,112491184,power,75817,0,4
3935.221793,117730035,power,71855,0,0
3935.859927,114288330,power,87606,0,16
3936.715827,111643473,power,77791,0,6
3937.055807,115068224,power,79733,0,8
3937.594073,113304986,power,83662,0,12
3939.857289,112796360,power,81735,0,10
3941.307685,115017361,power,89599,0,18
3943.036289,112440321,power,85659,0,14
3943.258002,117899577,power,73894,0,2
3943.806728,110592312,power,75817,0,4
3944.487058,119018554,power,71855,0,0
3945.859912,115136041,power,87606,0,16
3946.726163,113169352,power,77791,0,6
3947.05795,112881130,power,79733,0,8
3947.59659,112474230,power,83662,0,12
3949.82297,113186306,power,81735,0,10
3951.309076,115627713,power,89599,0,18
3953.035277,112847222,power,85659,0,14
3953.260753,117730034,power,73894,0,2
3953.806335,110575358,power,75817,0,4
3954.491249,105879042,power,71855,0,0
3956.200883,115169949,power,87606,0,16
3956.716014,112711589,power,77791,0,6
3957.056714,114050971,power,79733,0,8
3957.59333,114390055,power,83662,0,12
3959.828895,113440620,power,81735,0,10
3961.306249,115814209,power,89599,0,18
3963.036719,112931994,power,85659,0,14
3963.485489,117373997,power,73894,0,2
3963.808059,111694336,power,75817,0,4
3965.543937,137973362,power,71855,0,0
3966.127379,115356445,power,87606,0,16
3966.715641,108354357,power,77791,0,6
3967.05568,115085178,power,79733,0,8
3967.595556,113779704,power,83662,0,12
3969.822052,114932590,power,81735,0,10
3971.335492,112745497,power,89599,0,18
3973.037206,113847520,power,85659,0,14
3973.257085,117594401,power,73894,0,2
3973.807055,112999810,power,75817,0,4
3974.491526,90399848,power,71855,0,0
3975.857974,115322537,power,87606,0,16
3976.715033,112779405,power,77791,0,6
3977.057249,112982856,power,79733,0,8
3977.594447,112694634,power,83662,0,12
3979.821904,113033718,power,81735,0,10
3981.308174,107659234,power,89599,0,18
3983.038044,113050673,power,85659,0,14
3983.25972,117492675,power,73894,0,2
3983.812659,115797255,power,75817,0,4
3984.491523,115763346,power,71855,0,0
3985.857427,114423964,power,87606,0,16
3986.714757,113898383,power,77791,0,6
3987.055345,114813911,power,79733,0,8
3987.599757,112508138,power,83662,0,12
3989.82061,115763347,power,81735,0,10
3991.307413,128750271,power,89599,0,18
3993.036736,110829671,power,85659,0,14
3993.258976,117492676,power,73894,0,2
3993.804341,113542345,power,75817,0,4
3994.489806,116644966,power,71855,0,0
3995.858237,114983452,power,87606,0,16
3996.71699,114067925,power,77791,0,6
3997.055302,115475125,power,79733,0,8
3997.598121,112050375,power,83662,0,12
3999.822118,115848117,power,81735,0,10
4001.309064,107320150,power,89599,0,18
4003.03717,114169651,power,85659,0,14
4003.258156,118374295,power,73894,0,2
4004.242499,124409993,power,75817,0,4
4004.490567,115441216,power,71855,0,0
4005.858844,115441217,power,87606,0,16
4006.715797,112796360,power,77791,0,6
4007.055093,103302002,power,79733,0,8
4007.59467,115102132,power,83662,0,12
4009.822467,114796956,power,81735,0,10
4011.307672,113372803,power,89599,0,18
4013.035486,114491780,power,85659,0,14
4013.255106,117255317,power,73894,0,2
4013.798729,102708605,power,75817,0,4
4014.489676,115695530,power,71855,0,0
4015.89206,115305583,power,87606,0,16
4016.715694,114237468,power,77791,0,6
4017.057428,117696126,power,79733,0,8
4017.594235,110371907,power,83662,0,12
4019.821868,116644966,power,81735,0,10
4021.309683,112423367,power,89599,0,18
4023.037092,114237468,power,85659,0,14
4023.256106,119493272,power,73894,0,2
4023.808143,112067328,power,75817,0,4
4024.49145,117034912,power,71855,0,0
4025.835358,114610460,power,87606,0,16
4026.716377,114339192,power,77791,0,6
4027.056619,116356744,power,79733,0,8
4027.596274,117967394,power,83662,0,12
4029.82241,113237169,power,81735,0,10
4031.311204,113864474,power,89599,0,18
4033.035451,114712185,power,85659,0,14
4033.256853,117916531,power,73894,0,2
4033.802815,114118788,power,75817,0,4
4034.493373,115814209,power,71855,0,0
4035.856803,114271375,power,87606,0,16
4036.716264,110541450,power,77791,0,6
4037.05819,113593207,power,79733,0,8
4037.593597,115102132,power,83662,0,12
4039.853722,116560194,power,81735,0,10
4041.308493,123291016,power,89599,0,18
4043.034896,115254720,power,85659,0,14
4043.806745,113796658,power,75817,0,4
4044.49091,118069119,power,71855,0,0
4044.705245,128275554,power,73894,0,2
4045.858789,114186605,power,87606,0,16
4046.713619,116136339,power,77791,0,6
4047.057129,117255317,power,79733,0,8
4047.595827,116814507,power,83662,0,12
4049.823927,103302002,power,81735,0,10
4051.309216,101674398,power,89599,0,18
4053.036198,117119683,power,85659,0,14
4053.256119,93638102,power,73894,0,2
4053.792651,115220812,power,75817,0,4
4054.49298,115000406,power,71855,0,0
4055.858186,115492079,power,87606,0,16
4056.715425,114118788,power,77791,0,6
4057.058816,113881429,power,79733,0,8
4057.617296,114220514,power,83662,0,12
4061.306716,137854682,power,81735,0,10
4061.308967,114050971,power,89599,0,18
4063.03569,114203559,power,85659,0,14
4063.288485,118408203,power,73894,0,2
4063.795959,114525689,power,75817,0,4
4064.489704,117068821,power,71855,0,0
4065.903338,114627415,power,87606,0,16
4066.715345,114135742,power,77791,0,6
4067.057558,114559597,power,79733,0,8
4067.610372,112067328,power,83662,0,12
4069.823817,91908773,power,81735,0,10
4071.310838,115322537,power,89599,0,18
4073.036115,115119087,power,85659,0,14
4073.271878,115593804,power,73894,0,2
4073.82306,114898682,power,75817,0,4
4074.492502,118221707,power,71855,0,0
4075.860645,112033420,power,87606,0,16
4076.715019,113474528,power,77791,0,6
4077.058297,117204455,power,79733,0,8
4077.593215,116678874,power,83662,0,12
4080.177689,129869249,power,81735,0,10
4081.312093,115322537,power,89599,0,18
4083.034704,115678575,power,85659,0,14
4083.257176,112643772,power,73894,0,2
4083.785447,115644667,power,75817,0,4
4084.488983,114118788,power,71855,0,0
4086.101436,115661621,power,87606,0,16
4086.713632,114729140,power,77791,0,6
4087.058438,117797851,power,79733,0,8
4087.594481,116628011,power,83662,0,12
4089.826088,103725857,power,81735,0,10
4091.309054,117780897,power,89599,0,18
4093.111995,117136637,power,85659,0,14
4093.257809,113406711,power,73894,0,2
4093.828221,115814209,power,75817,0,4
4094.491138,116356743,power,71855,0,0
4095.875652,115220811,power,87606,0,16
4096.716893,114898681,power,77791,0,6
4097.05734,117797852,power,79733,0,8
4097.594498,118170844,power,83662,0,12
4099.824407,114695231,power,81735,0,10
4101.473899,117068821,power,89599,0,18
4103.036513,105607775,power,85659,0,14
4103.265168,116560194,power,73894,0,2
4103.823337,119544135,power,75817,0,4
4104.490659,118815105,power,71855,0,0
4105.859135,111779107,power,87606,0,16
4106.714928,114576552,power,77791,0,6
4107.05565,116882324,power,79733,0,8
4107.599236,114898682,power,83662,0,12
4109.824257,115475125,power,81735,0,10
4111.312457,114746093,power,89599,0,18
4113.037329,117255317,power,85659,0,14
4113.256976,112643772,power,73894,0,2
4113.806425,116865370,power,75817,0,4
4114.493544,116848415,power,71855,0,0
4115.885801,113050673,power,87606,0,16
4116.952604,114305284,power,77791,0,6
4117.056361,118509928,power,79733,0,8
4117.593869,114542643,power,83662,0,12
4119.824074,115322537,power,81735,0,10
4121.31418,117526585,power,89599,0,18
4123.038831,118153890,power,85659,0,14
4123.259637,114576552,power,73894,0,2
4123.8242,115390353,power,75817,0,4
4124.48949,117594401,power,71855,0,0
4125.859153,115966797,power,87606,0,16
4126.71663,116797553,power,77791,0,6
4127.08567,116034614,power,79733,0,8
4127.600664,111304389,power,83662,0,12
4129.851218,113915337,power,81735,0,10
4131.411777,116899278,power,89599,0,18
4133.035994,116238064,power,85659,0,14
4133.256138,115441216,power,73894,0,2
4133.823338,117679173,power,75817,0,4
4134.491444,116119385,power,71855,0,0
4135.860308,103115506,power,87606,0,16
4136.715585,103725858,power,77791,0,6
4137.058106,115678575,power,79733,0,8
4137.596143,113745796,power,83662,0,12
4139.823418,117882623,power,81735,0,10
4141.312665,118492974,power,89599,0,18
4143.040012,115339491,power,85659,0,14
4143.259555,114373101,power,73894,0,2
4143.824858,118628607,power,75817,0,4
4144.490967,118560791,power,71855,0,0
4145.886462,126970079,power,87606,0,16
4146.744418,117780897,power,77791,0,6
4147.055618,119188097,power,79733,0,8
4147.595739,117153591,power,83662,0,12
4149.82236,118696425,power,81735,0,10
4151.310934,118408203,power,89599,0,18
4153.037972,117831760,power,85659,0,14
4153.256042,115593805,power,73894,0,2
4153.837339,114000109,power,75817,0,4
4154.491805,115576850,power,71855,0,0
4155.857974,105200873,power,87606,0,16
4156.718176,112999810,power,77791,0,6
4157.056651,118747287,power,79733,0,8
4157.594218,113728841,power,83662,0,12
4159.827771,116322835,power,81735,0,10
4161.309952,117713081,power,89599,0,18
4163.03803,117153592,power,85659,0,14
4163.424391,119069417,power,73894,0,2
4163.799582,111779107,power,75817,0,4
4165.894937,117051867,power,87606,0,16
4165.993401,128682455,power,71855,0,0
4166.715057,112592909,power,77791,0,6
4167.059542,117221409,power,79733,0,8
4167.591429,112016466,power,83662,0,12
4169.986587,118899875,power,81735,0,10
4173.035233,117746989,power,85659,0,14
4173.258163,117441813,power,73894,0,2
4173.830538,99538167,power,75817,0,4
4174.453121,154181586,power,89599,0,18
4174.492138,106438531,power,71855,0,0
4176.583649,129208035,power,87606,0,16
4176.716495,115152995,power,77791,0,6
4177.05859,115085178,power,79733,0,8
4177.596085,116543240,power,83662,0,12
4179.823423,114339193,power,81735,0,10
4181.308181,82397461,power,89599,0,18
4183.034889,119103325,power,85659,0,14
