time,DRAM_Consumption,category,pid,mainThreadIndex,itération
18041.323296,6196763,power,89599,0,18
18043.07919,7112291,power,85659,0,14
18043.274184,6573995,power,73894,0,2
18043.917509,5929734,power,75817,0,4
18044.228033,6544325,power,71855,0,0
18045.344811,6836785,power,77791,0,6
18045.87877,7667541,power,87606,0,16
18047.0402,5722046,power,79733,0,8
18047.591148,6595188,power,83662,0,12
18049.843442,4878574,power,81735,0,10
18051.307893,7947286,power,89599,0,18
18053.113872,5743239,power,85659,0,14
18053.233033,6523133,power,73894,0,2
18053.80225,6086562,power,75817,0,4
18054.228941,7112291,power,71855,0,0
18055.369396,6968181,power,77791,0,6
18055.859407,7845561,power,87606,0,16
18057.086324,5213419,power,79733,0,8
18057.593598,7129245,power,83662,0,12
18059.82268,6400214,power,81735,0,10
18061.309172,7264879,power,89599,0,18
18063.154035,7243686,power,85659,0,14
18063.290722,6934271,power,73894,0,2
18063.808486,6904602,power,75817,0,4
18064.22605,6357829,power,71855,0,0
18065.358176,6150139,power,77791,0,6
18065.858397,7790459,power,87606,0,16
18067.058316,7192824,power,79733,0,8
18067.592386,8121067,power,83662,0,12
18069.825189,6853740,power,81735,0,10
18071.346169,7404752,power,89599,0,18
18073.259929,6896125,power,73894,0,2
18073.380392,6917318,power,85659,0,14
18073.832719,6332397,power,75817,0,4
18074.24279,6917317,power,71855,0,0
18075.358829,5539788,power,77791,0,6
18075.860283,6925795,power,87606,0,16
18077.079067,5794101,power,79733,0,8
18077.59205,7163154,power,83662,0,12
18079.824757,7519192,power,81735,0,10
18081.306585,7561577,power,89599,0,18
18083.032402,6756252,power,85659,0,14
18083.259065,5874634,power,73894,0,2
18083.823777,6739299,power,75817,0,4
18084.227984,7069906,power,71855,0,0
18085.345356,5289714,power,77791,0,6
18085.836269,6930033,power,87606,0,16
18087.057409,5917019,power,79733,0,8
18087.574189,7408989,power,83662,0,12
18089.838591,6675720,power,81735,0,10
18091.308858,7108053,power,89599,0,18
18093.036516,6192526,power,85659,0,14
18093.258998,7544624,power,73894,0,2
