time,DRAM,CPU,Iteration
3770.723963,5616082,112728543,7
3774.290938,6184048,118103027,3
3774.889661,5828010,114559597,17
3775.75656,4344516,114050971,11
3779.16243,6133185,103251139,15
3779.760345,6171332,115492079,5
3779.936501,6374783,113084581,13
3780.684126,5925496,118984647,9
3780.725216,5972120,114288330,7
3784.291057,6158617,117272271,3
3784.886531,5281236,117865669,17
3785.731965,5675422,113152398,11
3789.162926,6205241,113542345,15
3789.760432,6510417,116373698,5
3789.937642,6629096,111423069,13
3790.685237,6145901,116644965,9
3790.723535,6387499,116424560,7
3791.014513,18980238,271775987,1
3794.288418,6171332,118696425,3
3794.889062,5544027,115441216,17
3795.733151,5505880,113288031,11
3799.163538,6056892,113830567,15
3799.760103,6056892,113864475,5
3799.936288,6828308,113135444,13
3800.49219,5069308,89653863,1
3800.683438,5929735,118950738,9
3800.722679,6667243,112508138,7
3804.886862,5175273,118391249,17
3804.899468,7010566,117390951,3
3805.731447,5014208,113389757,11
3809.162376,6035699,112186008,15
3809.761262,6811353,114898682,5
3809.937577,6667243,113355848,13
3810.47907,6137425,103624132,1
3810.682091,5688138,117950439,9
3810.723878,6557041,116339790,7
3814.292317,6311205,103047688,3
3814.889768,5425347,115288628,17
3815.734084,5293952,113559299,11
3819.162821,5883111,113152398,15
3819.759207,6980896,113016764,5
3819.935751,6675720,113118490,13
3820.47888,5654229,111660427,1
3820.682924,6268819,117611355,9
3820.724725,6205241,114067925,7
3824.291073,6463792,113796658,3
3824.889283,5688137,116322836,17
3825.730812,4946390,113932292,11
3829.161675,6006028,113932291,15
3829.759657,6349352,114220513,5
3829.9386,5874634,114576551,13
3830.477646,6145901,115458171,1
3830.683408,5764431,119188097,9
3830.723462,6362067,117730035,7
3834.291425,7260641,113372803,3
3834.890218,5171035,118594699,17
3835.869037,5098979,112711589,11
3839.163222,6213718,111897787,15
3839.758757,5573697,116797553,5
3839.935738,6150140,115678576,13
3840.478673,6056891,117865668,1
3840.684506,6298489,117424859,9
3840.723786,6862216,115576850,7
3844.292366,6340874,113186306,3
3844.889133,5332099,115729438,17
3845.732398,5285475,112660725,11
3849.163363,6128947,113525390,15
3849.937613,7023281,113355848,13
3850.232232,6629096,116102431,5
3850.477964,5823771,114966499,1
3850.682626,6624858,118662516,9
3850.723253,6230673,115068224,7
3854.288861,8260939,113423666,3
3854.891099,5946689,107404921,17
3855.734183,5471971,113949246,11
3859.163838,6696913,111660428,15
3859.759462,6107754,118509928,5
3859.937084,6421407,114084880,13
3860.477791,6056892,117153591,1
3860.684515,6612142,117933486,9
3860.724724,6853739,116577148,7
3864.578614,7765029,122765435,3
3864.891103,6039937,116882324,17
3865.732992,6120470,112338596,11
3869.164736,6103516,111541748,15
3869.759195,6213718,117560493,5
3869.935226,6383260,115729438,13
3870.478712,5230374,118374295,1
3870.682707,5989075,118374294,9
3870.722466,6052653,113966200,7
3874.256108,6387498,100131565,3
3874.892183,6014506,116797553,17
3875.736876,6540087,112491184,11
3879.165787,5963643,112338596,15
3879.760723,5972121,118815104,5
3879.936645,5599128,114101834,13
3880.524371,6667243,118408203,1
3880.681577,5933973,119408502,9
3880.727584,6726583,115695530,7
3884.486907,7277595,113203260,3
3884.889381,5548265,117034912,17
3885.733859,6052653,112423367,11
3889.162519,6095039,113474528,15
3889.758904,5471971,105760363,5
3889.936646,6184048,115424262,13
3890.477373,7065667,112813314,1
3890.684614,6069607,117543538,9
3890.724638,6790161,113576253,7
3894.336103,6629096,113237169,3
3894.890667,5904304,117373997,17
3895.73403,5760193,113254123,11
3899.16338,5878872,114339193,15
3899.845428,6942749,129343668,5
3899.936799,7082622,113525390,13
3900.480657,7040236,114491780,1
3900.684835,6395976,118408203,9
3900.724649,6455315,117594401,7
3904.289273,6798638,112491184,3
3904.94248,5798340,117967393,17
3905.733463,5293952,114152697,11
3909.163662,5933974,113101535,15
3909.760546,4802280,107337104,5
3910.11772,7184346,109541152,13
3910.686049,5399916,118018257,9
3910.724018,6480747,116373698,7
3910.854977,7125006,114627415,1
3914.289716,6141663,113559299,3
3914.888757,5120171,116119385,17
3915.732931,5497402,115017361,11
3919.164609,6243388,113830566,15
3919.75942,6383260,117713081,5
3919.936462,6281535,112406412,13
3920.450258,6836786,112270779,1
3920.685187,6807115,117373996,9
3920.723453,6917318,114135742,7
3924.288689,6819831,116000705,3
3924.889005,5828010,116221110,17
3925.733288,5086263,113694933,11
3929.163478,5755954,115763347,15
3929.760555,6001790,119272867,5
3929.93815,7680257,112152100,13
3930.487345,6290012,113101535,1
3930.684051,5997552,119001601,9
3930.72534,6701151,111796061,7
3934.289685,6599426,115898980,3
3934.890543,5870395,117102729,17
3935.731628,5221897,113559299,11
3939.164982,5887349,111440023,15
3939.758781,5832249,118560791,5
3939.935624,7311503,111982557,13
3940.479841,7311503,114966499,1
3940.683991,5552504,117187500,9
3940.724799,6425646,110643175,7
3944.362285,7281833,116814508,3
3944.888109,5408393,115509033,17
3945.733703,5349053,109914143,11
3949.16504,6111993,117051866,15
3949.758097,5539788,117967394,5
3949.938583,7171631,111948650,13
3950.473697,7332696,116424560,1
3950.723044,4751417,102810330,7
3950.839115,5861918,119289822,9
3954.26333,6675721,117001004,3
3954.886798,5289714,118984647,17
3955.734669,5154080,110015870,11
3959.164681,6006029,115865071,15
3959.758236,6018744,118374295,5
3959.936567,6832547,112813313,13
3960.485702,6069607,113830567,1
3960.684189,5764431,117085774,9
3960.724475,6285774,112864177,7
3964.444019,6891886,116729736,3
3964.889789,6018744,118679470,17
3966.167033,6188287,109032525,11
3969.20554,7358127,116475424,15
3969.758338,5997552,119900173,5
3969.936898,6217956,114305285,13
3970.485105,5781385,114847819,1
3970.681903,5594890,119001601,9
3970.722817,5806817,114034016,7
